icao_code,country_code,iata_code,lng,name,lat
UHWW,RU,VVO,132.15,Vladivostok International Airport,43.4
URWW,RU,VOG,44.35,Volgograd International Airport,48.79
UUOO,RU,VOZ,39.23,Voronezh International Airport,51.81
EDLV,DE,NRN,6.14,Weeze Airport,51.6
KHOU,US,HOU,-95.28,William P Hobby Airport,29.65
UNKL,RU,KJA,92.49,Krasnoyarsk Yemelyanovo Airport,56.18
LDZD,HR,ZAD,15.35,Zadar Airport,44.1
LEMD,ES,MAD,-3.57,Adolfo Suarez Madrid-Barajas Airport,40.48
SKCL,CO,CLO,-76.38,Cali / Alfonso Bonillaaragon,3.54
YBAS,AU,ASP,133.9,Alice Springs Airport,-23.8
UAAA,KZ,ALA,77.03,Almaty Airport,43.35
EHAM,NL,AMS,4.76,Amsterdam Airport Schiphol,52.31
KLBE,US,LBE,-79.41,Arnold Palmer Regional Airport,40.27
LRBC,RO,BCM,26.91,"Bacau ""George Enescu"" International Airport",46.52
LEBL,ES,BCN,2.08,Barcelona-El Prat Airport,41.3
EDDB,DE,BER,13.5,Berlin Brandenburg Airport,52.36
EGBB,GB,BHX,-1.74,Birmingham International Airport,52.45
KLEX,US,LEX,-84.6,Blue Grass Airport,38.04
KBFI,US,BFI,-122.3,King County International Airport,47.53
KBOI,US,BOI,-116.23,Boise Air Terminal,43.57
EDDW,DE,BRE,8.79,Bremen Airport,53.05
LIBR,IT,BDS,17.94,Brindisi - Salento Airport,40.66
KACV,US,ACV,-124.11,Arcata-Eureka Airport,40.97
SKCC,CO,CUC,-72.51,Camilo Daza International Airport,7.93
SBFI,BR,IGU,-54.49,Cataratas International Airport,-25.6
KAPA,US,APA,-104.85,Centennial Airport,39.57
KTVC,US,TVC,-85.58,Cherry Capital Airport,44.74
KPWK,US,PWK,-87.9,Chicago Executive Airport,42.12
LIRA,IT,CIA,12.59,Roma Ciampino Airport,41.8
LFLC,FR,CFE,3.17,Clermont-Ferrand Auvergne Airport,45.79
VOCI,IN,COK,76.39,Cochin International Airport,10.15
LRCV,RO,CRA,23.89,Craiova Airport,44.32
LTBS,TR,DLM,28.79,Dalaman Airport,36.71
